file,length,min,max,dc,rms,loudness
egfxset/Clean/Bridge-Middle/1-0.wav,5.000291666666667,-0.9930373430252075,0.9517135620117188,4.2128122077273155e-06,-24.41808336809911,-22.44002187318053
egfxset/Clean/Bridge-Middle/1-1.wav,5.0,-0.9977020025253296,0.8561699390411377,3.1015599767367045e-06,-23.55021445201234,-20.73411232744642
egfxset/Clean/Bridge-Middle/1-10.wav,5.0,-0.9920021295547485,0.7281911373138428,1.5296533703804016e-06,-29.105630980439017,-25.24281951309916
egfxset/Clean/Bridge-Middle/1-11.wav,5.0,-0.9962254762649536,0.7418860197067261,4.158114890257517e-06,-28.373743158107466,-25.415255104434877
egfxset/Clean/Bridge-Middle/1-12.wav,5.0,-0.9976116418838501,0.7004655599594116,1.5181049704551696e-06,-28.68261582000426,-26.25304267456191
egfxset/Clean/Bridge-Middle/1-13.wav,5.0,-0.9918941259384155,0.6852972507476807,7.032698392868042e-06,-30.319377690683595,-27.275062701608533
egfxset/Clean/Bridge-Middle/1-14.wav,5.0,-0.9984760284423828,0.7639986276626587,2.3771226406097413e-07,-27.99320438589634,-24.50553142511436
egfxset/Clean/Bridge-Middle/1-15.wav,5.0,-0.9955631494522095,0.7299052476882935,-3.183797001838684e-07,-30.79793200815338,-27.16260701725916
egfxset/Clean/Bridge-Middle/1-16.wav,5.0,-0.9944864511489868,0.6969503164291382,3.1292269627253213e-06,-31.145524206931,-27.134979849715574
egfxset/Clean/Bridge-Middle/1-17.wav,5.0,-0.9966771602630615,0.7216523885726929,-1.2833461165428163e-06,-32.34117589230669,-27.641467636220337
egfxset/Clean/Bridge-Middle/1-18.wav,5.0,-0.9927411079406738,0.8669736385345459,-2.8229008118311566e-07,-22.82151649371751,-17.534961279917955
egfxset/Clean/Bridge-Middle/1-19.wav,5.0,-0.9985917806625366,0.8757476806640625,-1.2933308879534403e-06,-22.273736084513555,-16.672397228889132
egfxset/Clean/Bridge-Middle/1-2.wav,5.0,-0.9354777336120605,0.9963785409927368,1.7299469312032065e-05,-22.47773436373674,-20.38945665534684
egfxset/Clean/Bridge-Middle/1-20.wav,5.0,-0.9911139011383057,0.9019265174865723,-1.485109825929006e-06,-21.709896888230805,-17.05602687252296
egfxset/Clean/Bridge-Middle/1-21.wav,5.0,-0.9962755441665649,0.8837268352508545,-3.889992833137512e-07,-21.451908803938235,-16.10953405818075
egfxset/Clean/Bridge-Middle/1-22.wav,5.0,-0.9891530275344849,0.9155529737472534,2.4915983279546104e-07,-21.68100563193333,-16.564066595150337
egfxset/Clean/Bridge-Middle/1-3.wav,5.0,-0.9960439205169678,0.8151684999465942,1.56014546751976e-05,-25.192721191121244,-21.939283283861634
egfxset/Clean/Bridge-Middle/1-4.wav,5.0,-0.996502161026001,0.8655706644058228,1.539592246214549e-05,-23.94086118327565,-20.821269357837952
egfxset/Clean/Bridge-Middle/1-5.wav,5.0,-0.998645544052124,0.8400987386703491,9.042536715666454e-06,-24.846204494414316,-21.612928438228547
egfxset/Clean/Bridge-Middle/1-6.wav,5.0,-0.9969449043273926,0.9016464948654175,6.433768073717753e-06,-25.9253917637606,-23.87971455859737
egfxset/Clean/Bridge-Middle/1-7.wav,5.0,-0.9995026588439941,0.7902328968048096,1.2136079867680868e-05,-26.744358268077,-24.04197662135962
egfxset/Clean/Bridge-Middle/1-8.wav,5.0,-0.9885640144348145,0.8214554786682129,4.3669874469439185e-06,-25.816691551090216,-22.50060605623558
egfxset/Clean/Bridge-Middle/1-9.wav,5.0,-0.9909783601760864,0.7914434671401978,3.008149067560832e-06,-26.305590755250666,-22.31973954622464
